Program,Certificate,CEFR ,SPK,LIST,REA,WRI
MAS,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,"3,0","5,0","4,0","4,0"
MAS,IELTS,B2,"7,0","7,0","7,0","6,0"
MAS,APTIS,B2,"7,0","6,0","5,0","5,0"
HAT,VSTEP,B2,"7,0","8,0","8,0","6,0"
HAT,APTIS,C2,"9,0","9,0","8,0","7,0"
MET,IELTS,B2,"7,0","7,0","7,0","6,0"
MAC,VSTEP,B1,"5,0","5,0","4,0","5,0"
MAS,IELTS,B2,"6,0","7,0","7,0","6,0"
MAS,APTIS,B2,"5,0","4,0","5,0","4,0"
MAS,APTIS,B2,"3,0","5,0","6,0","4,0"
MET,IELTS,B2,"8,0","8,0","8,0","8,0"
MET,IELTS,B2,"7,0","8,0","7,0","7,0"
MET,APTIS,B2,"5,0","6,0","5,0","6,0"
MET,APTIS,B2,"3,0","3,0","3,0","3,0"
MET,APTIS,C1,"6,0","6,0","6,0","6,0"
HAT,APTIS,B2,"6,0","7,0","8,0","7,0"
MAC,APTIS,B2,"6,0","8,0","8,0","7,0"
MET,APTIS,B2,"5,0","7,0","7,0","5,0"
HAT,TOEIC,B2,"7,0","8,0","7,0","7,0"
MET,VSTEP,B1,"7,0","6,0","6,0","5,0"
MAC,IELTS,C1,"8,0","8,0","9,0","7,0"
MAS,VSTEP,B2,"8,0","7,0","7,0","6,0"
MAC,TOEIC,B2,"7,0","9,0","9,0","6,0"
MAC,IELTS,B2,"5,0","4,0","5,0","4,0"
MET,TOEIC,B1,"6,0","4,0","6,0","5,0"
HAT,Khác,B1,"7,0","6,0","6,0","5,0"
MAC,IELTS,B1,"6,0","7,0","6,0","5,0"
MET,APTIS,B2,"5,0","4,0","5,0","4,0"
HAT,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,"3,0","4,0","4,0","3,0"
HAT,VSTEP,B2,"3,0","5,0","5,0","5,0"
MAS,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,"6,0","5,0","5,0","3,0"
MAC,APTIS,C1,"4,0","4,0","3,0","4,0"
MAS,APTIS,B2,"2,0","4,0","5,0","5,0"
HAT,Khác,B1,"4,0","6,0","6,0","5,0"
MET,IELTS,B1,"5,0","8,0","6,0","6,0"
MET,TOEIC,B1,"4,0","5,0","7,0","4,0"
MAC,IELTS,A2,"7,0","7,0","7,0","7,0"
MAC,TOEIC,B2,"5,0","5,0","5,0","5,0"
HAT,VSTEP,B2,"5,0","4,0","6,0","6,0"
MAC,TOEIC,B1,"2,0","5,0","6,0","5,0"
MAS,APTIS,B2,"6,0","6,0","6,0","6,0"
MET,IELTS,B2,"6,0","6,0","6,0","5,0"
MET,IELTS,C1,"6,0","8,0","8,0","6,0"
HAT,IELTS,C1,"6,0","9,0","9,0","6,0"
MAC,APTIS,B2,"5,0","6,0","6,0","5,0"
MET,IELTS,C1,"8,0","8,0","6,0","7,0"
MAC,APTIS,B1,"6,0","6,0","7,0","4,0"
HAT,VSTEP,B2,"7,0","4,0","5,0","6,0"
MAC,TOEIC,C2,"9,0","8,0","10,0","7,0"
MAS,TOEIC,B1,"5,0","4,0","6,0","3,0"
MAS,APTIS,B2,"7,0","9,0","9,0","8,0"
MET,IELTS,B2,"7,0","8,0","8,0","7,0"
MET,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,"5,0","4,0","6,0","5,0"
HAT,VSTEP,C1,"8,0","7,0","7,0","6,0"
MAS,APTIS,B2,"6,0","6,0","7,0","5,0"
MAC,IELTS,B1,"5,0","6,0","7,0","4,0"
MAS,APTIS,B2,"7,0","7,0","8,0","6,0"
HAT,APTIS,B2,"7,0","8,0","8,0","6,0"
MET,APTIS,B2,"7,0","8,0","8,0","7,0"
MAC,IELTS,B2,"7,0","7,0","6,0","8,0"
MAC,VSTEP,B2,"5,0","3,0","6,0","5,0"
MAS,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,"4,0","6,0","5,0","5,0"
HAT,IELTS,B1,"6,0","7,0","6,0","6,0"
MET,Khác,B2,"7,0","4,0","5,0","6,0"
