Program,Certificate,CEFR ,SPK,LIST,REA,WRI
MAS,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,3,5,4,4
MAS,IELTS,B2,7,7,7,6
MAS,APTIS,B2,7,6,5,5
HAT,VSTEP,B2,7,8,8,6
HAT,APTIS,C2,9,9,8,7
MET,IELTS,B2,7,7,7,6
MAC,VSTEP,B1,5,5,4,5
MAS,IELTS,B2,6,7,7,6
MAS,APTIS,B2,5,4,5,4
MAS,APTIS,B2,3,5,6,4
MET,IELTS,B2,8,8,8,8
MET,IELTS,B2,7,8,7,7
MET,APTIS,B2,5,6,5,6
MET,APTIS,B2,3,3,3,3
MET,APTIS,C1,6,6,6,6
HAT,APTIS,B2,6,7,8,7
MAC,APTIS,B2,6,8,8,7
MET,APTIS,B2,5,7,7,5
HAT,TOEIC,B2,7,8,7,7
MET,VSTEP,B1,7,6,6,5
MAC,IELTS,C1,8,8,9,7
MAS,VSTEP,B2,8,7,7,6
MAC,TOEIC,B2,7,9,9,6
MAC,IELTS,B2,5,4,5,4
MET,TOEIC,B1,6,4,6,5
HAT,Khác,B1,7,6,6,5
MAC,IELTS,B1,6,7,6,5
MET,APTIS,B2,5,4,5,4
HAT,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,3,4,4,3
HAT,VSTEP,B2,3,5,5,5
MAS,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,6,5,5,3
MAC,APTIS,C1,4,4,3,4
MAS,APTIS,B2,2,4,5,5
HAT,Khác,B1,4,6,6,5
MET,IELTS,B1,5,8,6,6
MET,TOEIC,B1,4,5,7,4
MAC,IELTS,A2,7,7,7,7
MAC,TOEIC,B2,5,5,5,5
HAT,VSTEP,B2,5,4,6,6
MAC,TOEIC,B1,2,5,6,5
MAS,APTIS,B2,6,6,6,6
MET,IELTS,B2,6,6,6,5
MET,IELTS,C1,6,8,8,6
HAT,IELTS,C1,6,9,9,6
MAC,APTIS,B2,5,6,6,5
MET,IELTS,C1,8,8,6,7
MAC,APTIS,B1,6,6,7,4
HAT,VSTEP,B2,7,4,5,6
MAC,TOEIC,C2,9,8,10,7
MAS,TOEIC,B1,5,4,6,3
MAS,APTIS,B2,7,9,9,8
MET,IELTS,B2,7,8,8,7
MET,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,5,4,6,5
HAT,VSTEP,C1,8,7,7,6
MAS,APTIS,B2,6,6,7,5
MAC,IELTS,B1,5,6,7,4
MAS,APTIS,B2,7,7,8,6
HAT,APTIS,B2,7,8,8,6
MET,APTIS,B2,7,8,8,7
MAC,IELTS,B2,7,7,6,8
MAC,VSTEP,B2,5,3,6,5
MAS,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,4,6,5,5
HAT,IELTS,B1,6,7,6,6
MET,Khác,B2,7,4,5,6
